Category::Flagship,Auburn University,Alabama,
Category::Flagship,University of Alabama,Alabama,
Category::Flagship,University of Arizona,Arizona,
Category::Flagship,Arizona State,Arizona,
Category::Flagship,University of Arkansas,Arkansas,https://universityofarkansas.studentaidcalculator.com/survey.aspx
Category::Flagship,UCLA,California,
Category::Flagship,University of California - Berkely,California,http://calculator.berkeley.edu/
Category::Flagship,University of Colorado - Boulder,Colorado,
Category::Flagship,University of Connecticut,Connecticut,
Category::Flagship,University of Delaware,Delaware,
Category::Flagship,University of Florida,Florida,
Category::Flagship,University of Georgia,Georgia,
Category::Flagship,University of Hawaii ,Hawaii,
Category::Flagship,University of Idaho,Idaho,
Category::Flagship,University of Illinois Urbana,Illinois,http://www.osfa.uiuc.edu/aid/ifac/IFAC.asp
Category::Flagship,Indiana University,Indiana,
Category::Flagship,Purdue University,Indiana,http://www.purdue.edu/apps/onepurdue/finaid/
Category::Flagship,University of Iowa,Iowa,
Category::Flagship,University of Kansas,Kansas,
Category::Flagship,University of Kentucky,Kentucky,
Category::Flagship,University of Louisville,Kentucky,
Category::Flagship,Louisiana State University,Louisiana,
Category::Flagship,University of Maine,Maine,
Category::Flagship,University of Maryland,Maryland,
Category::Flagship,University of Massachusetts,Massachusetts,http://www.umass.edu/umfa/netprice/npcalc.htm
Category::Flagship,University of Michigan,Michigan,http://www.finaid.umich.edu/mcalc/mcalc.asp
Category::Flagship,Michigan State University,Michigan,http://www.finaid.msu.edu/forms/aidest/start.asp
Category::Flagship,University of Minnesota,Minnesota,
Category::Flagship,University of Mississippi,Mississippi,
Category::Flagship,University of Missouri-Columbia,Missouri,
Category::Flagship,University of Montana,Montana,http://www.collegeportraits.org/MT/UM/estimator
Category::Flagship,University of Nebraska,Nebraska,
Category::Flagship,UNLV,Nevada,
Category::Flagship,University of New Hampshire,New Hampshire,
Category::Flagship,Rutgers-State University,New Jersey,
Category::Flagship,University of New Mexico,New Mexico,
Category::Flagship,University of North Carolina,North Carolina,https://npc.collegeboard.org/student/app/unc
Category::Flagship,North Carolina State,North Carolina,http://collegeportraits.org/NC/NC-State/estimator/agree
Category::Flagship,University of North Dakota,North Dakota,
Category::Flagship,Ohio State University,Ohio,
Category::Flagship,University of Oklahoma,Oklahoma,
Category::Flagship,University of Oregon,Oregon,
Category::Flagship,Penn State University,Pennsylvania,
Category::Flagship,Temple University,Pennsylvania,
Category::Flagship,University of Rhode Island,Rhode Island,
Category::Flagship,Clemson University,South Carolina,http://www.clemson.edu/financial-aid/costs/calculator.html
Category::Flagship,University of South Carolina,South Carolina,
Category::Flagship,University of South Dakota,South Dakota,
Category::Flagship,University of Tennessee,Tennessee,
Category::Flagship,University of Houston,Texas,
Category::Flagship,University of Texas,Texas,http://www.collegeforalltexans.com/apps/CollegeMoney/index.php
Category::Flagship,U of Texas at Arlington,Texas,http://www.collegeforalltexans.com/apps/CollegeMoney/index.php
Category::Flagship,Texas A&M,Texas,http://www.collegeforalltexans.com/apps/CollegeMoney/index.php
Category::Flagship,University of Utah,Utah,
Category::Flagship,University of Vermont,Vermont,https://uvm.studentaidcalculator.com/survey.aspx
Category::Flagship,College of William and Mary,Virginia,
Category::Flagship,University of Virginia,Viginia,
Category::Flagship,University of Washington,Washington,
Category::Flagship,West Virginia University,West Virginia,
Category::Flagship,University of Wisconsin - Madison,Wisconsin,http://www.finaid.wisc.edu/award-estimator.php
Category::Flagship,University of Wyoming,Wyoming,
Category::NonFlagship,Alabama A & M University,Alabama,
Category::NonFlagship,Alabama State University,Alabama,
Category::NonFlagship,Athens State University,Alabama,
Category::NonFlagship,Auburn University - Montgomery,Alabama,
Category::NonFlagship,Jacksonville State University,Alabama,
Category::NonFlagship,Troy University,Alabama,
Category::NonFlagship,Troy University-Montgomery,Alabama,
Category::NonFlagship,University of Alabama at Birmingham,Alabama,
Category::NonFlagship,University of Alabama at Huntsville,Alabama,https://uah.studentaidcalculator.com/survey.aspx
Category::NonFlagship,University of Montevallo,Alabama,
Category::NonFlagship,University of North Alabama,Alabama,
Category::NonFlagship,University of South Alabama,Alabama,
Category::NonFlagship,University of West Alabama,Alabama,
Category::NonFlagship,Kuskokwim College UAF_CRA,Alaska,
Category::NonFlagship,Northwest Campus - UAF,Alaska,
Category::NonFlagship,University of Alaska Anchorage,Alaska,
Category::NonFlagship,University of Alaska Fairbanks,Alaska,
Category::NonFlagship,University of Alaska Southeast,Alaska,
Category::NonFlagship,Northern Arizona University,Arizona,
Category::NonFlagship,Arkansas State University - Jonesboro,Arkansas,
Category::NonFlagship,Arkansas Tech University,Arkansas,
Category::NonFlagship,Henderson State University,Arkansas,
Category::NonFlagship,Southern Arkansas University,Arkansas,
Category::NonFlagship,University of Arkansas Medical Sciences,Arkansas,
Category::NonFlagship,University of Arkansas at Little Rock,Arkansas,
Category::NonFlagship,University of Arkansas at Monticello,Arkansas,
Category::NonFlagship,University of Arkansas at Pine Bluff,Arkansas,
Category::NonFlagship,University of Arkansas - Fort Smith,Arkansas,
Category::NonFlagship,University of Central Arkansas,Arkansas,
Category::NonFlagship,California Maritime Academy,California,
Category::NonFlagship,California Polytechnic State U - San Louis Obispo,California,
Category::NonFlagship,California Polytechnic U - Pomona,California,
Category::NonFlagship,California State U - Channel Island,California,
Category::NonFlagship,California State U - Dominguez Hills,California,
Category::NonFlagship,California State U - Monterey Bay,California,
Category::NonFlagship,California State U - Bakersfield,California,
Category::NonFlagship,California State U - Chico,California,
Category::NonFlagship,California State U - East Bay,California,
Category::NonFlagship,California State U - Fresno,California,
